issue_month,loan_count,bad_count,bad_outcome_rate,avg_int_rate,avg_fico,avg_lti,share_60m,share_low_grade,low_volume_flag
2007-10-01,105,34,0.323810,12.4385,685.86,0.177483,0.000000,0.552381,0
2007-11-01,112,34,0.303571,11.9623,685.39,0.194702,0.000000,0.500000,0
2007-12-01,172,47,0.273256,11.8105,690.81,0.207158,0.000000,0.476744,0
2008-01-01,305,84,0.275410,11.7204,696.20,0.186176,0.000000,0.406557,0
2008-02-01,306,61,0.199346,12.1959,698.03,0.182945,0.000000,0.431373,0
2008-03-01,402,89,0.221393,12.3058,693.94,0.186329,0.000000,0.465174,0
2008-04-01,259,63,0.243243,12.3810,696.23,0.163201,0.000000,0.440154,0
2008-05-01,115,25,0.217391,11.5510,697.13,0.109423,0.000000,0.373913,0
2008-06-01,124,22,0.177419,11.3229,694.78,0.117169,0.000000,0.298387,0
2008-07-01,141,30,0.212766,11.9052,692.46,0.133768,0.000000,0.368794,0
2008-08-01,100,12,0.120000,12.4208,692.85,0.121492,0.000000,0.440000,0
2008-09-01,57,10,0.175439,12.7340,692.18,0.100701,0.000000,0.438596,1
2008-10-01,122,21,0.172131,11.9007,705.20,0.124807,0.000000,0.262295,0
2008-11-01,209,39,0.186603,11.8967,711.35,0.165468,0.000000,0.267943,0
2008-12-01,253,40,0.158103,12.2006,712.73,0.166609,0.000000,0.217391,0
2009-01-01,269,41,0.152416,12.3658,712.45,0.157932,0.000000,0.271375,0
2009-02-01,302,41,0.135762,12.9949,712.61,0.165590,0.000000,0.364238,0
2009-03-01,324,41,0.126543,12.9369,712.99,0.181391,0.000000,0.358025,0
2009-04-01,333,49,0.147147,12.5916,717.95,0.171639,0.000000,0.360360,0
2009-05-01,359,51,0.142061,12.1807,716.29,0.174845,0.000000,0.183844,0
2009-06-01,406,58,0.142857,11.9944,717.10,0.158758,0.000000,0.160099,0
2009-07-01,411,58,0.141119,12.2097,715.54,0.161845,0.000000,0.218978,0
2009-08-01,446,50,0.112108,12.1934,719.20,0.164913,0.000000,0.197309,0
2009-09-01,507,66,0.130178,12.3935,717.92,0.171255,0.000000,0.211045,0
2009-10-01,604,100,0.165563,12.5868,717.90,0.176504,0.000000,0.243377,0
